"anyo","mes","dia","temp","maxtemp","mintemp","hum","wspd","wdir","wdire","presion","precip","fog","rain","snow"
"2001","01","01","10","11","8","89","15","221","SW","1008.93","0.0","0","1","0"
"2001","01","02","8","10","7","79","24","267","West","1012.31","0.0","0","1","0"
"2001","01","03","8","10","6","76","15","251","WSW","1018.79","0.0","0","1","0"
"2001","01","04","10","11","9","79","20","273","West","1019.00","0.0","0","0","0"
"2001","01","05","12","14","10","93","13","242","WSW","1010.15","0.0","0","1","0"
"2001","01","06","8","10","6","60","14","303","WNW","1008.57","0.0","0","0","0"
"2001","01","07","6","8","3","57","10","332","NNW","1018.31","0.0","0","0","0"
"2001","01","08","6","9","2","62","6","251","WSW","1021.53","0.0","0","0","0"
"2001","01","09","3","4","2","82","5","130","SE","1014.55","0.0","1","1","1"
"2001","01","10","8","12","5","92","4","180","South","1014.94","0.0","1","0","0"
"2001","01","11","8","9","7","88","12","207","SSW","1008.77","0.0","0","1","0"
"2001","01","12","8","9","6","89","8","76","ENE","1008.07","0.0","0","1","0"
"2001","01","13","8","14","3","63","4","322","NW","1017.93","0.0","0","0","0"
"2001","01","14","8","12","3","70","3","231","SW","1018.54","0.0","0","0","0"
"2001","01","15","6","7","4","86","6","239","WSW","1016.80","0.0","1","1","0"
"2001","01","16","6","8","5","90","12","273","West","1016.75","0.0","0","1","0"
"2001","01","17","6","8","3","86","11","282","WNW","1021.00","0.0","1","0","0"
"2001","01","18","8","10","5","90","12","234","SW","1014.93","0.0","0","1","0"
"2001","01","19","7","11","3","52","12","314","NW","1022.64","0.0","0","0","0"
"2001","01","20","8","11","4","63","6","217","SW","1027.71","0.0","0","0","0"
"2001","01","21","6","11","1","73","2","190","South","1025.33","0.0","1","0","0"
"2001","01","22","4","8","1","84","6","240","WSW","1018.77","0.0","0","0","0"
"2001","01","23","10","12","9","93","16","252","WSW","1018.29","0.0","0","0","0"
"2001","01","24","11","12","10","74","22","264","West","1013.07","0.0","0","0","0"
"2001","01","25","6","8","5","73","24","279","West","1015.50","0.0","0","1","0"
"2001","01","26","6","8","3","91","22","260","West","1016.13","0.0","0","1","0"
"2001","01","27","10","12","8","76","12","271","West","1013.42","0.0","1","1","0"
