"anyo","mes","dia","hora","temp","hum","wspd","wdir","wdire","presion","fog","rain","snow","timestamp"
"2011","01","01","07","7.0","93","0.0","0","North","1019","0","0","0","2011-01-01 07:00:00"
"2011","01","01","08","6.0","93","0.0","0","North","1019","0","0","0","2011-01-01 08:00:00"
"2011","01","01","09","5.0","100","1.9","0","Variable","1020","0","0","0","2011-01-01 09:00:00"
"2011","01","01","10","6.0","93","0.0","0","North","1020","0","0","0","2011-01-01 10:00:00"
"2011","01","01","11","9.0","76","0.0","0","North","1021","0","0","0","2011-01-01 11:00:00"
"2011","01","01","12","10.0","66","0.0","0","North","1021","0","0","0","2011-01-01 12:00:00"
"2011","01","01","13","11.0","58","0.0","0","North","1020","0","0","0","2011-01-01 13:00:00"
"2011","01","01","14","12.0","54","0.0","0","North","1020","0","0","0","2011-01-01 14:00:00"
"2011","01","01","15","11.0","62","3.7","0","Variable","1019","0","0","0","2011-01-01 15:00:00"
"2011","01","01","16","10.0","71","9.3","260","West","1019","0","0","0","2011-01-01 16:00:00"
"2011","01","01","17","10.0","76","7.4","260","West","1019","0","0","0","2011-01-01 17:00:00"
"2011","01","01","18","9.0","82","5.6","260","West","1019","0","0","0","2011-01-01 18:00:00"
"2011","01","01","19","9.0","87","5.6","260","West","1019","0","0","0","2011-01-01 19:00:00"
"2011","01","02","07","7.0","87","0.0","0","North","1018","0","0","0","2011-01-02 07:00:00"
"2011","01","02","08","6.0","93","0.0","0","North","1018","0","0","0","2011-01-02 08:00:00"
"2011","01","02","09","7.0","87","0.0","0","North","1019","0","0","0","2011-01-02 09:00:00"
"2011","01","02","10","8.0","87","0.0","0","North","1020","0","0","0","2011-01-02 10:00:00"
"2011","01","02","11","10.0","71","1.9","0","Variable","1020","0","0","0","2011-01-02 11:00:00"
"2011","01","02","12","11.0","58","1.9","0","Variable","1020","0","0","0","2011-01-02 12:00:00"
"2011","01","02","13","12.0","54","5.6","120","ESE","1019","0","0","0","2011-01-02 13:00:00"
"2011","01","02","14","12.0","51","5.6","180","South","1019","0","0","0","2011-01-02 14:00:00"
"2011","01","02","15","13.0","44","3.7","0","Variable","1018","0","0","0","2011-01-02 15:00:00"
"2011","01","02","16","12.0","44","1.9","0","Variable","1018","0","0","0","2011-01-02 16:00:00"
"2011","01","02","17","11.0","50","5.6","60","ENE","1018","0","0","0","2011-01-02 17:00:00"
"2011","01","02","18","10.0","54","1.9","0","Variable","1019","0","0","0","2011-01-02 18:00:00"
"2011","01","02","19","10.0","50","0.0","0","North","1019","0","0","0","2011-01-02 19:00:00"
"2011","01","02","20","7.0","61","1.9","0","Variable","1020","0","0","0","2011-01-02 20:00:00"
"2011","01","02","21","7.0","66","0.0","0","North","1019","0","0","0","2011-01-02 21:00:00"
"2011","01","02","22","5.0","81","1.9","0","Variable","1020","0","0","0","2011-01-02 22:00:00"
"2011","01","03","07","1.0","100","0.0","0","North","1019","0","0","0","2011-01-03 07:00:00"
"2011","01","03","08","0.0","100","0.0","0","North","1019","0","0","0","2011-01-03 08:00:00"
"2011","01","03","09","0.0","100","0.0","0","North","1019","0","0","0","2011-01-03 09:00:00"
"2011","01","03","10","4.0","93","0.0","0","North","1020","0","0","0","2011-01-03 10:00:00"
"2011","01","03","11","5.0","81","3.7","0","Variable","1020","0","0","0","2011-01-03 11:00:00"
"2011","01","03","12","7.0","66","0.0","0","North","1020","0","0","0","2011-01-03 12:00:00"
"2011","01","03","13","8.0","62","0.0","0","North","1020","0","0","0","2011-01-03 13:00:00"
"2011","01","03","14","8.0","66","7.4","170","South","1019","0","0","0","2011-01-03 14:00:00"
"2011","01","03","15","9.0","62","7.4","200","SSW","1019","0","0","0","2011-01-03 15:00:00"
"2011","01","03","16","9.0","62","7.4","200","SSW","1019","0","0","0","2011-01-03 16:00:00"
"2011","01","03","17","8.0","76","7.4","200","SSW","1019","0","0","0","2011-01-03 17:00:00"
"2011","01","03","18","7.0","81","5.6","220","SW","1019","0","0","0","2011-01-03 18:00:00"
"2011","01","03","19","5.0","100","5.6","260","West","1019","0","0","0","2011-01-03 19:00:00"
"2011","01","03","20","6.0","93","3.7","0","Variable","1020","0","0","0","2011-01-03 20:00:00"
"2011","01","03","21","5.0","100","1.9","0","Variable","1020","0","0","0","2011-01-03 21:00:00"
"2011","01","03","22","5.0","100","1.9","0","Variable","1020","0","0","0","2011-01-03 22:00:00"
"2011","01","04","07","4.0","100","0.0","0","North","1019","1","0","0","2011-01-04 07:00:00"
"2011","01","04","08","4.0","100","3.7","0","Variable","1019","1","0","0","2011-01-04 08:00:00"
"2011","01","04","09","4.0","100","1.9","0","Variable","1019","1","0","0","2011-01-04 09:00:00"
"2011","01","04","10","4.0","100","3.7","0","Variable","1019","1","0","0","2011-01-04 10:00:00"
"2011","01","04","11","5.0","100","14.8","240","WSW","1020","0","0","0","2011-01-04 11:00:00"
"2011","01","04","12","5.0","100","11.1","250","WSW","1020","0","0","0","2011-01-04 12:00:00"
"2011","01","04","13","6.0","100","7.4","260","West","1019","0","0","0","2011-01-04 13:00:00"
"2011","01","04","14","6.0","93","9.3","200","SSW","1018","0","0","0","2011-01-04 14:00:00"
"2011","01","04","15","6.0","93","5.6","260","West","1018","0","0","0","2011-01-04 15:00:00"
"2011","01","04","16","7.0","93","3.7","0","Variable","1018","0","1","0","2011-01-04 16:00:00"
"2011","01","04","17","7.0","93","7.4","220","SW","1017","0","0","0","2011-01-04 17:00:00"
"2011","01","04","18","7.0","100","9.3","220","SW","1017","0","0","0","2011-01-04 18:00:00"
"2011","01","04","19","7.0","100","5.6","240","WSW","1017","0","0","0","2011-01-04 19:00:00"
"2011","01","04","20","7.0","100","3.7","0","Variable","1017","0","0","0","2011-01-04 20:00:00"
"2011","01","04","21","7.0","100","7.4","230","SW","1017","0","0","0","2011-01-04 21:00:00"
"2011","01","04","22","7.0","100","9.3","190","South","1017","1","0","0","2011-01-04 22:00:00"
"2011","01","05","07","7.0","100","9.3","210","SSW","1014","0","0","0","2011-01-05 07:00:00"
"2011","01","05","08","7.0","100","5.6","190","South","1015","0","0","0","2011-01-05 08:00:00"
"2011","01","05","09","6.0","100","3.7","0","Variable","1015","0","0","0","2011-01-05 09:00:00"
"2011","01","05","10","7.0","100","3.7","0","Variable","1015","0","0","0","2011-01-05 10:00:00"
"2011","01","05","11","7.0","100","3.7","0","Variable","1015","0","0","0","2011-01-05 11:00:00"
"2011","01","05","12","8.0","100","13.0","200","SSW","1015","0","0","0","2011-01-05 12:00:00"
"2011","01","05","13","8.0","100","14.8","200","SSW","1015","0","0","0","2011-01-05 13:00:00"
"2011","01","05","14","9.0","93","13.0","200","SSW","1014","0","0","0","2011-01-05 14:00:00"
"2011","01","05","15","9.0","93","9.3","200","SSW","1013","0","0","0","2011-01-05 15:00:00"
"2011","01","05","16","9.0","93","7.4","190","South","1013","0","0","0","2011-01-05 16:00:00"
"2011","01","05","17","9.0","93","9.3","190","South","1013","0","0","0","2011-01-05 17:00:00"
"2011","01","05","18","9.0","93","5.6","200","SSW","1013","0","0","0","2011-01-05 18:00:00"
"2011","01","05","19","9.0","93","9.3","210","SSW","1014","0","0","0","2011-01-05 19:00:00"
"2011","01","06","07","9.0","100","7.4","160","SSE","1013","0","1","0","2011-01-06 07:00:00"
"2011","01","06","08","10.0","100","7.4","170","South","1012","0","0","0","2011-01-06 08:00:00"
"2011","01","06","09","10.0","100","14.8","180","South","1013","1","0","0","2011-01-06 09:00:00"
"2011","01","06","10","11.0","100","9.3","180","South","1013","0","0","0","2011-01-06 10:00:00"
"2011","01","06","11","11.0","100","16.7","190","South","1014","0","0","0","2011-01-06 11:00:00"
"2011","01","06","12","13.0","88","24.1","220","SW","1014","0","0","0","2011-01-06 12:00:00"
"2011","01","06","13","13.0","88","24.1","210","SSW","1014","0","0","0","2011-01-06 13:00:00"
"2011","01","06","14","13.0","82","25.9","220","SW","1013","0","0","0","2011-01-06 14:00:00"
"2011","01","06","15","13.0","82","18.5","220","SW","1012","0","0","0","2011-01-06 15:00:00"
"2011","01","06","16","14.0","67","22.2","220","SW","1012","0","0","0","2011-01-06 16:00:00"
"2011","01","06","17","14.0","72","22.2","210","SSW","1012","0","0","0","2011-01-06 17:00:00"
"2011","01","06","18","13.0","82","16.7","190","South","1012","0","0","0","2011-01-06 18:00:00"
"2011","01","06","19","13.0","77","14.8","190","South","1012","0","0","0","2011-01-06 19:00:00"
"2011","01","07","07","8.0","100","9.3","140","SE","1013","0","0","0","2011-01-07 07:00:00"
"2011","01","07","08","9.0","93","13.0","170","South","1013","0","0","0","2011-01-07 08:00:00"
"2011","01","07","09","10.0","76","20.4","190","South","1014","0","0","0","2011-01-07 09:00:00"
"2011","01","07","10","9.0","82","20.4","180","South","1014","0","0","0","2011-01-07 10:00:00"
"2011","01","07","11","10.0","82","16.7","190","South","1015","0","0","0","2011-01-07 11:00:00"
"2011","01","07","12","10.0","87","16.7","190","South","1016","0","0","0","2011-01-07 12:00:00"
"2011","01","07","13","11.0","82","18.5","200","SSW","1016","0","0","0","2011-01-07 13:00:00"
"2011","01","07","14","12.0","82","16.7","200","SSW","1015","0","0","0","2011-01-07 14:00:00"
"2011","01","07","15","12.0","77","18.5","200","SSW","1015","0","0","0","2011-01-07 15:00:00"
"2011","01","07","16","12.0","72","16.7","200","SSW","1015","0","0","0","2011-01-07 16:00:00"
"2011","01","07","17","11.0","71","16.7","200","SSW","1016","0","0","0","2011-01-07 17:00:00"
"2011","01","07","18","9.0","93","20.4","230","SW","1016","0","1","0","2011-01-07 18:00:00"
"2011","01","07","19","9.0","93","11.1","220","SW","1017","0","1","0","2011-01-07 19:00:00"
"2011","01","07","20","9.0","100","5.6","190","South","1017","0","1","0","2011-01-07 20:00:00"
"2011","01","07","21","9.0","100","3.7","0","Variable","1018","0","0","0","2011-01-07 21:00:00"
"2011","01","07","22","9.0","100","7.4","140","SE","1018","0","0","0","2011-01-07 22:00:00"
"2011","01","08","07","9.0","87","20.4","180","South","1017","0","0","0","2011-01-08 07:00:00"
"2011","01","08","08","9.0","87","13.0","160","SSE","1017","0","0","0","2011-01-08 08:00:00"
"2011","01","08","09","8.0","93","13.0","140","SE","1018","0","0","0","2011-01-08 09:00:00"
"2011","01","08","10","9.0","87","11.1","150","SSE","1018","0","0","0","2011-01-08 10:00:00"
"2011","01","08","11","9.0","87","13.0","140","SE","1018","0","0","0","2011-01-08 11:00:00"
"2011","01","08","12","10.0","87","11.1","140","SE","1018","0","0","0","2011-01-08 12:00:00"
"2011","01","08","13","10.0","87","14.8","150","SSE","1017","0","0","0","2011-01-08 13:00:00"
"2011","01","08","14","11.0","82","16.7","170","South","1016","0","1","0","2011-01-08 14:00:00"
"2011","01","08","15","10.0","94","11.1","190","South","1015","0","1","0","2011-01-08 15:00:00"
"2011","01","08","16","9.0","100","14.8","220","SW","1015","0","1","0","2011-01-08 16:00:00"
"2011","01","08","17","8.0","100","3.7","0","Variable","1015","0","1","0","2011-01-08 17:00:00"
"2011","01","08","18","8.0","100","14.8","230","SW","1015","0","1","0","2011-01-08 18:00:00"
"2011","01","08","19","8.0","100","9.3","220","SW","1015","0","0","0","2011-01-08 19:00:00"
"2011","01","08","20","8.0","100","5.6","180","South","1015","0","1","0","2011-01-08 20:00:00"
"2011","01","08","21","8.0","100","5.6","140","SE","1015","0","0","0","2011-01-08 21:00:00"
"2011","01","08","22","8.0","100","7.4","180","South","1016","0","0","0","2011-01-08 22:00:00"
"2011","01","09","07","7.0","100","18.5","230","SW","1016","0","0","0","2011-01-09 07:00:00"
"2011","01","09","08","6.0","100","11.1","230","SW","1016","0","0","0","2011-01-09 08:00:00"
"2011","01","09","09","6.0","100","9.3","230","SW","1017","0","0","0","2011-01-09 09:00:00"
"2011","01","09","10","6.0","100","3.7","0","Variable","1018","1","0","0","2011-01-09 10:00:00"
"2011","01","09","11","8.0","100","5.6","170","South","1018","0","0","0","2011-01-09 11:00:00"
"2011","01","09","12","9.0","82","9.3","180","South","1018","0","0","0","2011-01-09 12:00:00"
